fan_id,segment,campaign_type,emails_sent,email_open_rate,click_through_rate,app_sessions_30d,push_opt_in,days_since_last_touch,journey_stage,revenue_generated_usd
FAN000001,New to Soccer,Ticket Upsell,10,0.357,0.049,16,False,27,Churned,9.58
FAN000002,New to Soccer,Re-engagement,7,0.422,0.098,26,True,46,Conversion,1.46
FAN000003,New to Soccer,Re-engagement,11,0.354,0.143,1,True,58,Loyalty,24.39
FAN000004,Lapsed Fan,Ticket Upsell,8,0.292,0.117,2,True,22,Conversion,86.73
FAN000005,New to Soccer,Ticket Upsell,8,0.249,0.157,20,True,79,Churned,50.53
FAN000006,Casual Viewer,Welcome Series,1,0.388,0.1,43,True,33,Churned,6.86
FAN000007,Converted Fan,Welcome Series,11,0.405,0.146,19,True,17,Conversion,144.08
FAN000008,New to Soccer,Merchandise Offer,11,0.396,0.19,38,True,89,Consideration,23.51
FAN000009,Converted Fan,Welcome Series,1,0.413,0.189,35,False,36,Awareness,7.6
FAN000010,Converted Fan,Re-engagement,5,0.483,0.184,23,True,7,Awareness,59.15
FAN000011,Converted Fan,Ticket Upsell,11,0.523,0.06,3,False,4,Awareness,119.33
FAN000012,Casual Viewer,Merchandise Offer,7,0.311,0.107,20,True,65,Conversion,128.26
FAN000013,Casual Viewer,Content Newsletter,9,0.494,0.111,6,False,73,Conversion,113.89
FAN000014,Casual Viewer,Welcome Series,1,0.399,0.094,3,True,69,Conversion,81.16
FAN000015,Converted Fan,Ticket Upsell,8,0.211,0.053,18,False,50,Awareness,199.3
FAN000016,Converted Fan,Welcome Series,9,0.347,0.184,15,False,65,Churned,15.02
FAN000017,Converted Fan,Ticket Upsell,7,0.351,0.078,9,False,13,Conversion,24.7
FAN000018,Casual Viewer,Ticket Upsell,1,0.252,0.097,24,True,10,Conversion,103.86
FAN000019,Casual Viewer,Loyalty Reward,9,0.457,0.121,5,False,65,Awareness,99.27
FAN000020,Casual Viewer,Ticket Upsell,2,0.219,0.078,30,True,11,Awareness,303.32
FAN000021,Casual Viewer,Welcome Series,2,0.454,0.166,24,False,26,Consideration,149.92
FAN000022,Casual Viewer,Merchandise Offer,1,0.103,0.107,43,True,56,Awareness,32.4
FAN000023,Casual Viewer,Merchandise Offer,3,0.428,0.096,13,False,62,Awareness,596.73
FAN000024,Converted Fan,Re-engagement,4,0.558,0.065,5,True,52,Loyalty,159.17
FAN000025,Casual Viewer,Re-engagement,3,0.225,0.156,13,True,60,Awareness,44.96
FAN000026,New to Soccer,Ticket Upsell,11,0.413,0.103,4,True,10,Churned,91.41
FAN000027,New to Soccer,Merchandise Offer,4,0.342,0.098,6,True,6,Conversion,9.88
FAN000028,New to Soccer,Welcome Series,9,0.27,0.14,3,True,75,Awareness,9.41
FAN000029,Casual Viewer,Welcome Series,11,0.324,0.067,28,True,13,Loyalty,175.16
FAN000030,New to Soccer,Content Newsletter,9,0.284,0.082,26,True,50,Consideration,82.09
FAN000031,Casual Viewer,Loyalty Reward,5,0.085,0.06,35,False,74,Consideration,130.26
FAN000032,Casual Viewer,Loyalty Reward,10,0.426,0.151,35,True,25,Loyalty,2.81
FAN000033,Casual Viewer,Content Newsletter,9,0.237,0.026,32,True,81,Consideration,93.33
FAN000034,Casual Viewer,Re-engagement,3,0.438,0.06,19,True,40,Churned,27.33
FAN000035,Casual Viewer,Ticket Upsell,8,0.504,0.01,44,True,66,Conversion,17.21
FAN000036,Lapsed Fan,Loyalty Reward,5,0.343,0.1,30,False,27,Loyalty,53.69
FAN000037,Lapsed Fan,Loyalty Reward,5,0.373,0.023,10,False,36,Loyalty,54.73
FAN000038,Converted Fan,Ticket Upsell,11,0.231,0.093,34,True,7,Consideration,26.62
FAN000039,Casual Viewer,Loyalty Reward,9,0.393,0.02,10,True,0,Conversion,9.23
FAN000040,New to Soccer,Welcome Series,3,0.18,0.178,15,False,75,Awareness,292.1
FAN000041,Lapsed Fan,Ticket Upsell,5,0.304,0.062,16,True,19,Conversion,42.84
FAN000042,Casual Viewer,Re-engagement,8,0.468,0.041,26,True,19,Churned,343.52
FAN000043,Converted Fan,Loyalty Reward,11,0.34,0.174,36,True,19,Loyalty,58.68
FAN000044,New to Soccer,Ticket Upsell,11,0.283,0.06,18,True,86,Consideration,252.2
FAN000045,Converted Fan,Content Newsletter,1,0.4,0.083,39,False,18,Awareness,7.47
