fan_id,acquisition_date,market,segment,acquisition_channel,age_group,gender,country_of_origin,email_opt_in,app_downloaded,ticket_purchase_intent,merch_purchase_intent,season_ticket_conversion,predicted_ltv_usd,engagement_score,churn_risk
FAN000001,2026-07-02,Atlanta,Converted Fan,Digital Ad,55+,Female,USA,True,False,0,1,1,360.78,15.7,Medium
FAN000002,2026-10-03,Houston,Converted Fan,Email Campaign,25-34,Female,USA,True,True,0,1,1,278.89,63.1,Medium
FAN000003,2026-07-29,Los Angeles,Converted Fan,Partner Referral,35-44,Female,USA,True,False,1,0,1,373.09,12.6,Medium
FAN000004,2026-07-13,San Francisco,Converted Fan,Partner Referral,25-34,Female,USA,True,False,0,1,1,327.91,50.0,Low
FAN000005,2026-06-23,Chicago,Converted Fan,In-Stadium,35-44,Male,Other,False,False,0,0,0,342.66,73.0,Low
FAN000006,2026-06-23,Miami,Lapsed Fan,TV Promotion,35-44,Female,Mexico,False,True,0,0,0,182.45,59.3,High
FAN000007,2026-06-17,New York,New to Soccer,TV Promotion,45-54,Male,USA,False,False,0,0,0,109.41,0.0,Medium
FAN000008,2026-08-26,Dallas,Lapsed Fan,Social Media,55+,Male,USA,True,False,0,0,0,208.2,31.4,Low
FAN000009,2026-07-13,Chicago,Casual Viewer,Social Media,35-44,Male,Argentina,True,True,0,0,0,133.72,36.3,High
FAN000010,2026-07-26,Los Angeles,Converted Fan,Social Media,45-54,Female,Germany,False,True,0,0,1,382.77,18.8,Low
FAN000011,2026-06-13,Other,Casual Viewer,Email Campaign,25-34,Female,USA,False,True,0,1,0,128.84,94.6,Medium
FAN000012,2026-10-14,Chicago,New to Soccer,Digital Ad,25-34,Female,USA,True,False,1,0,0,79.8,40.1,Medium
FAN000013,2026-08-17,Dallas,Casual Viewer,Partner Referral,25-34,Non-binary/Other,Colombia,True,True,1,0,0,136.8,32.9,High
FAN000014,2026-06-25,Dallas,Converted Fan,Digital Ad,18-24,Female,England,False,False,0,1,1,306.27,42.0,Low
FAN000015,2026-06-24,New York,Casual Viewer,Organic Search,25-34,Male,USA,True,False,0,0,0,148.66,54.2,Medium
FAN000016,2026-06-24,Boston,Lapsed Fan,Digital Ad,35-44,Female,Argentina,True,False,1,0,1,222.93,47.0,Low
FAN000017,2026-06-29,Los Angeles,Converted Fan,Partner Referral,25-34,Male,Mexico,False,False,1,1,1,307.52,16.1,High
FAN000018,2026-07-08,Seattle,Converted Fan,Social Media,25-34,Male,USA,True,False,0,1,1,312.94,40.2,Medium
FAN000019,2026-07-04,Miami,Converted Fan,Email Campaign,25-34,Male,USA,True,True,0,0,0,349.89,37.9,High
FAN000020,2026-06-28,Los Angeles,Casual Viewer,Social Media,25-34,Male,USA,True,False,0,0,1,172.1,79.1,High
FAN000021,2026-07-14,Chicago,Lapsed Fan,Digital Ad,18-24,Female,USA,True,True,1,0,1,208.28,57.6,Medium
FAN000022,2026-06-22,San Francisco,Casual Viewer,Organic Search,25-34,Female,Mexico,True,False,0,0,0,149.77,22.5,High
FAN000023,2026-06-29,Miami,Lapsed Fan,Social Media,25-34,Female,Other,False,False,0,0,0,134.91,59.0,Medium
FAN000024,2026-07-01,Dallas,New to Soccer,Social Media,35-44,Female,USA,False,False,0,1,1,82.0,61.5,Medium
FAN000025,2026-07-05,New York,Casual Viewer,Email Campaign,55+,Female,England,True,False,0,1,0,144.84,41.4,High
FAN000026,2026-08-07,Boston,Converted Fan,Digital Ad,18-24,Female,England,True,True,0,1,0,454.86,42.8,Medium
FAN000027,2026-06-25,Los Angeles,Casual Viewer,Digital Ad,25-34,Male,England,False,False,0,0,0,168.72,34.8,High
FAN000028,2026-07-08,Dallas,New to Soccer,Partner Referral,55+,Female,England,True,False,1,0,0,100.53,35.5,Low
FAN000029,2026-07-13,New York,Converted Fan,TV Promotion,55+,Male,Colombia,True,True,1,1,1,468.01,48.3,Low
FAN000030,2026-06-16,Los Angeles,Casual Viewer,Organic Search,55+,Female,USA,True,True,0,0,1,181.13,60.5,Low
FAN000031,2026-07-14,Dallas,Lapsed Fan,In-Stadium,25-34,Male,Other,True,False,0,1,0,206.53,65.4,Medium
FAN000032,2026-06-23,Los Angeles,Converted Fan,Partner Referral,18-24,Male,Colombia,False,False,1,1,1,422.74,48.5,Medium
FAN000033,2026-06-17,Denver,New to Soccer,Digital Ad,25-34,Female,USA,False,True,0,0,0,76.08,45.1,Low
FAN000034,2026-10-02,Dallas,Lapsed Fan,Digital Ad,45-54,Female,USA,True,True,1,1,0,258.62,100.0,Low
FAN000035,2026-10-11,Atlanta,New to Soccer,Digital Ad,25-34,Male,USA,True,False,0,0,0,107.64,48.2,Low
FAN000036,2026-08-11,Chicago,Casual Viewer,Social Media,35-44,Male,Mexico,True,False,0,0,1,154.99,42.3,Medium
